10,false,questionID-1734367213924,opt-1734367216604
11,false,questionID-1734367213924,opt-1734367217329
12,true,questionID-1734367213924,opt-1734367218200
15,false,questionID-1734367213924,opt-1734367219487
2,false,questionID-1734367235239,opt-1734367237687
6,false,questionID-1734367235239,opt-1734367239040
5,false,questionID-1734367235239,opt-1734367239753
4,true,questionID-1734367235239,opt-1734367240306
14,false,questionID-1734367252145,opt-1734367256777
12,true,questionID-1734367252145,opt-1734367257607
17,false,questionID-1734367252145,opt-1734367259942
15,false,questionID-1734367252145,opt-1734367315303
2,false,questionID-1734423607371,opt-1734423609393
8,false,questionID-1734423607371,opt-1734423611079
7,true,questionID-1734423607371,opt-1734423612536
1,false,questionID-1734423607371,opt-1734423614086
venus,false,questionID-1734423628150,opt-1734423659864
mars,true,questionID-1734423628150,opt-1734423661640
earth,false,questionID-1734423628150,opt-1734423663665
jupiter,false,questionID-1734423628150,opt-1734423666621
William Shakespeare,true,questionID-1734423676278,opt-1734423683656
Jane Austen,false,questionID-1734423676278,opt-1734423701249
Mark Twain,false,questionID-1734423676278,opt-1734423709313
Charles Dickens,false,questionID-1734423676278,opt-1734423715285
Atlantic Ocean,false,questionID-1734423725709,opt-1734423732984
Indian Ocean,false,questionID-1734423725709,opt-1734423737108
Arctic Ocean,false,questionID-1734423725709,opt-1734423741166
Pacific Ocean,true,questionID-1734423725709,opt-1734423745723
O2,false,questionID-1734423755235,opt-1734423764922
H2O,true,questionID-1734423755235,opt-1734423770961
CO2,false,questionID-1734423755235,opt-1734423777453
NaCl,false,questionID-1734423755235,opt-1734423783173
green,false,questionID-1734424618439,opt-1734424629464
red,false,questionID-1734424618439,opt-1734424630800
yellow,false,questionID-1734424618439,opt-1734424632441
blue,true,questionID-1734424618439,opt-1734424634609
1,false,questionID-1734424645314,opt-1734424646489
2,false,questionID-1734424645314,opt-1734424646810
3,false,questionID-1734424645314,opt-1734424647299
4,true,questionID-1734424645314,opt-1734424648054
67,false,questionID-1734424654600,opt-1734424657264
12,false,questionID-1734424654600,opt-1734424658917
4,true,questionID-1734424654600,opt-1734424660598
1,false,questionID-1734424654600,opt-1734424662003
1,false,questionID-1734424721779,opt-1734424727336
2,false,questionID-1734424721779,opt-1734424727949
3,false,questionID-1734424721779,opt-1734424728631
4,true,questionID-1734424721779,opt-1734424732713
spoon,false,questionID-1734424744317,opt-1734424759980
knife,false,questionID-1734424744317,opt-1734424763373
brush,true,questionID-1734424744317,opt-1734424765692
pen,false,questionID-1734424744317,opt-1734424769224
